Algorithm,Map,Run,Value
PSO,4,5,1.5784928798675537
Dijkstra,4,6,0.0016944408416748047
Astar,4,6,0.0019958019256591797
RRT,4,6,0.0213472843170166
PRM,4,6,0.0028219223022460938
PSO,4,6,1.5316197872161865
Dijkstra,4,7,0.0019872188568115234
Astar,4,7,0.0020291805267333984
RRT,4,7,0.015016317367553711
PRM,4,7,0.002420663833618164
PSO,4,7,1.5166854858398438
Dijkstra,4,8,0.00170135498046875
Astar,4,8,0.0020089149475097656
RRT,4,8,0.011742115020751953
PRM,4,8,0.003780364990234375
PSO,4,8,0.38797545433044434
Dijkstra,4,9,0.001718282699584961
Astar,4,9,0.002756834030151367
RRT,4,9,0.007087230682373047
PRM,4,9,0.0030100345611572266
PSO,4,9,1.5218923091888428
Dijkstra,4,10,0.0018007755279541016
Astar,4,10,0.0020034313201904297
RRT,4,10,0.024054527282714844
PRM,4,10,0.003490924835205078
PSO,4,10,1.5289108753204346
Dijkstra,4,11,0.002803325653076172
Astar,4,11,0.002336740493774414
RRT,4,11,0.025617122650146484
PRM,4,11,0.003683328628540039
PSO,4,11,0.31539011001586914
Dijkstra,4,12,0.0016963481903076172
Astar,4,12,0.001966238021850586
RRT,4,12,0.007075786590576172
PRM,4,12,0.003369569778442383
PSO,4,12,1.5251595973968506
Dijkstra,4,13,0.002002239227294922
Astar,4,13,0.002099752426147461
RRT,4,13,0.01770949363708496
PRM,4,13,0.0033843517303466797
PSO,4,13,1.5354537963867188
Dijkstra,4,14,0.0017850399017333984
Astar,4,14,0.0022003650665283203
RRT,4,14,0.07154035568237305
PRM,4,14,0.0041315555572509766
PSO,4,14,1.5352401733398438
Dijkstra,4,15,0.0016994476318359375
Astar,4,15,0.002000093460083008
RRT,4,15,0.0058650970458984375
PRM,4,15,0.0034110546112060547
PSO,4,15,0.3298063278198242
Dijkstra,4,16,0.0016961097717285156
Astar,4,16,0.0020554065704345703
RRT,4,16,0.010203838348388672
PRM,4,16,0.002852201461791992
PSO,4,16,1.5653462409973145
Dijkstra,4,17,0.0017077922821044922
Astar,4,17,0.0019664764404296875
RRT,4,17,0.050789594650268555
PRM,4,17,0.002707958221435547
PSO,4,17,0.3183627128601074
Dijkstra,4,18,0.0016629695892333984
Astar,4,18,0.0019741058349609375
RRT,4,18,0.005273342132568359
PRM,4,18,0.0024356842041015625
PSO,4,18,0.31723761558532715
Dijkstra,4,19,0.0016736984252929688
Astar,4,19,0.002145051956176758
RRT,4,19,0.011747598648071289
PRM,4,19,0.0038628578186035156
PSO,4,19,0.3132505416870117
Dijkstra,4,20,0.001745462417602539
Astar,4,20,0.002046823501586914
RRT,4,20,0.01985001564025879
PRM,4,20,0.003718137741088867
PSO,4,20,0.32088255882263184
